condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.06499999999999995,0.969391111111111,0.137985402503861,,3000,3000,0.9383333333333334,0.9233333333333333,0.9026666666666666,none
quant_cosine,0.06499999999999995,0.9693836666666665,0.1379495294856718,,3000,3000,0.9383333333333334,0.9236666666666666,0.9023333333333333,none
hamming_binary,0.06799999999999995,0.968718111111111,-1942.0,d_H<= 1942/4096  (52.6% similar),3000,3000,0.9376666666666666,0.9146666666666666,0.8943333333333333,none
hamming_gray,0.10133333333333339,0.9551896666666666,-1833.0,d_H<= 1833/4096  (55.2% similar),3000,3000,0.8983333333333333,0.794,0.6126666666666667,none
quant_l1_thermo,0.06899999999999995,0.9666284444444444,-48228.0,,3000,3000,0.9333333333333333,0.92,0.8973333333333333,none
float_cosine,0.06499999999999995,0.9695955555555555,0.14106442523317408,,3000,3000,0.9383333333333334,0.9233333333333333,0.905,tanh
quant_cosine,0.06499999999999995,0.9695957777777777,0.14130185466945422,,3000,3000,0.9383333333333334,0.9233333333333333,0.905,tanh
hamming_binary,0.08399999999999996,0.9609535555555556,-1989.0,d_H<= 1989/4096  (51.4% similar),3000,3000,0.9213333333333333,0.8496666666666667,0.731,tanh
hamming_gray,0.09399999999999997,0.9575546666666668,-1993.0,d_H<= 1993/4096  (51.3% similar),3000,3000,0.9076666666666666,0.819,0.717,tanh
quant_l1_thermo,0.07066666666666666,0.9660062222222223,-42209.0,,3000,3000,0.9326666666666666,0.916,0.8823333333333333,tanh
float_cosine,0.06466666666666666,0.9694128888888889,0.1725378016656827,,3000,3000,0.9383333333333334,0.9243333333333333,0.9103333333333333,minmax
quant_cosine,0.06466666666666665,0.9694788888888889,0.16724969255492944,,3000,3000,0.939,0.9243333333333333,0.91,minmax
hamming_binary,0.08866666666666667,0.9595178888888889,-1970.0,d_H<= 1970/4096  (51.9% similar),3000,3000,0.9176666666666666,0.8403333333333334,0.7116666666666667,minmax
hamming_gray,0.11866666666666667,0.9434777777777777,-1645.0,d_H<= 1645/4096  (59.8% similar),3000,3000,0.8743333333333333,0.7653333333333333,0.6186666666666667,minmax
quant_l1_thermo,0.079,0.9588783333333334,-12389.0,,3000,3000,0.9246666666666666,0.8856666666666667,0.823,minmax
float_cosine,0.06499999999999995,0.9708539999999999,0.13534695706061337,,3000,3000,0.9393333333333334,0.924,0.9056666666666666,zscore
quant_cosine,0.06499999999999995,0.9708556666666667,0.1357682780373464,,3000,3000,0.9393333333333334,0.9243333333333333,0.9053333333333333,zscore
hamming_binary,0.08133333333333337,0.9651460000000001,-1988.0,d_H<= 1988/4096  (51.5% similar),3000,3000,0.924,0.8593333333333333,0.7873333333333333,zscore
hamming_gray,0.09566666666666666,0.9558726666666666,-1992.0,d_H<= 1992/4096  (51.4% similar),3000,3000,0.906,0.8066666666666666,0.7023333333333334,zscore
quant_l1_thermo,0.06933333333333336,0.9666925555555556,-42618.0,,3000,3000,0.934,0.9183333333333333,0.8843333333333333,zscore
