condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.21507169056352116,0.8640641689944221,0.5393530124998488,,2999,2999,0.6795598532844281,0.4021340446815605,0.16872290763587863,none
quant_cosine,0.21540513504501502,0.8638593658150582,0.5330982279229397,,2999,2999,0.6785595198399467,0.401133711237079,0.16805601867289097,none
hamming_binary,0.24774924974991663,0.827967775409409,-3611.0,d_H<= 3611/8192  (55.9% similar),2999,2999,0.5638546182060686,0.24674891630543513,0.07002334111370456,none
hamming_gray,0.23207735911970656,0.8461856964436628,-2899.0,d_H<= 2899/8192  (64.6% similar),2999,2999,0.600866955651884,0.21473824608202735,0.02867622540846949,none
quant_l1_thermo,0.19939979993331114,0.8786888060163657,-29928.0,,2999,2999,0.6872290763587863,0.31643881293764586,0.09936645548516172,none
float_cosine,0.21407135711903968,0.8637526280017092,0.5620162944184232,,2999,2999,0.6792264088029343,0.40746915638546183,0.162054018006002,tanh
quant_cosine,0.21407135711903968,0.8634794459106687,0.5551817209002858,,2999,2999,0.6792264088029343,0.4081360453484495,0.162054018006002,tanh
hamming_binary,0.23574524841613873,0.837251407910673,-3644.0,d_H<= 3644/8192  (55.5% similar),2999,2999,0.5745248416138713,0.2494164721573858,0.07635878626208736,tanh
hamming_gray,0.21740580193397796,0.8613562529067986,-2950.0,d_H<= 2950/8192  (64.0% similar),2999,2999,0.6315438479493164,0.22640880293431143,0.03701233744581527,tanh
quant_l1_thermo,0.19673224408136045,0.8810423748007143,-25976.0,,2999,2999,0.6938979659886629,0.32277425808602866,0.1130376792264088,tanh
float_cosine,0.22940980326775592,0.8541558979146211,0.9689646471965866,,2999,2999,0.6275425141713905,0.2764254751583861,0.12737579193064355,minmax
quant_cosine,0.2290763587862621,0.8535388199311964,0.9693610833204376,,2999,2999,0.6235411803934645,0.27742580860286764,0.12604201400466822,minmax
hamming_binary,0.2734244748249417,0.8031028682340595,-2222.0,d_H<= 2222/8192  (72.9% similar),2999,2999,0.4894964988329443,0.136378792930977,0.006335445148382794,minmax
hamming_gray,0.2587529176392131,0.8263609265776154,-2346.0,d_H<= 2346/8192  (71.4% similar),2999,2999,0.5521840613537846,0.17139046348782927,0.012337445815271757,minmax
quant_l1_thermo,0.21373791263754582,0.868119094049467,-18479.0,,2999,2999,0.6585528509503168,0.29709903301100365,0.10470156718906302,minmax
float_cosine,0.18939646548849617,0.8859227389456594,0.24584860482062446,,2999,2999,0.7139046348782928,0.3604534844948316,0.12104034678226075,zscore
quant_cosine,0.18906302100700234,0.8860630546961248,0.2482429769673573,,2999,2999,0.7142380793597866,0.36178726242080694,0.1203734578192731,zscore
hamming_binary,0.23241080360120037,0.84537104232032,-3368.0,d_H<= 3368/8192  (58.9% similar),2999,2999,0.5905301767255752,0.2270756918972991,0.03267755918639546,zscore
hamming_gray,0.23741247082360784,0.8461679068081047,-3320.0,d_H<= 3320/8192  (59.5% similar),2999,2999,0.60486828942981,0.23841280426808936,0.021673891297099034,zscore
quant_l1_thermo,0.18906302100700234,0.8863406841960547,-64857.0,,2999,2999,0.7062354118039347,0.33177725908636213,0.11437145715238413,zscore
