condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.06497948016415869,0.9667442093910347,0.17655914147272656,,2930,2924,0.9402730375426621,0.9040955631399318,0.8187713310580205,none
quant_cosine,0.06497948016415869,0.9667450264493447,0.17645779203383924,,2930,2924,0.9402730375426621,0.9044368600682594,0.8187713310580205,none
hamming_binary,0.08020477815699656,0.960094405251584,-1919.0,d_H<= 1919/4096  (53.1% similar),2930,2924,0.9255972696245733,0.8617747440273038,0.757679180887372,none
hamming_gray,0.1658703071672355,0.9002692790744363,-1817.0,d_H<= 1817/4096  (55.6% similar),2930,2924,0.7952218430034129,0.6116040955631399,0.34197952218430033,none
quant_l1_thermo,0.06211604095563139,0.9710752020468478,-47300.900341296925,,2930,2924,0.9460750853242321,0.903754266211604,0.7614334470989761,none
float_cosine,0.06416382252559727,0.9668169275806203,0.1803243452608549,,2930,2924,0.941296928327645,0.9071672354948805,0.8324232081911263,tanh
quant_cosine,0.06416382252559727,0.9668095740558309,0.18035796886795938,,2930,2924,0.941296928327645,0.9071672354948805,0.831740614334471,tanh
hamming_binary,0.10682593856655287,0.9478535878197616,-1981.0,d_H<= 1981/4096  (51.6% similar),2930,2924,0.8887372013651877,0.7238907849829351,0.5784982935153583,tanh
hamming_gray,0.13132694938440492,0.9326195356307456,-1988.0,d_H<= 1988/4096  (51.5% similar),2930,2924,0.842320819112628,0.6447098976109215,0.42627986348122865,tanh
quant_l1_thermo,0.06109215017064851,0.9715105774034354,-41601.90034129693,,2930,2924,0.9464163822525598,0.9017064846416383,0.7201365187713311,tanh
float_cosine,0.06326949384404924,0.9667547144264486,0.20535879747277455,,2930,2924,0.9426621160409556,0.9075085324232082,0.847098976109215,minmax
quant_cosine,0.06348122866894201,0.9666298212276419,0.20115803502991855,,2930,2924,0.9419795221843004,0.9064846416382253,0.847098976109215,minmax
hamming_binary,0.11774744027303752,0.9428345153443551,-1970.0,d_H<= 1970/4096  (51.9% similar),2930,2924,0.8737201365187713,0.6679180887372014,0.46040955631399316,minmax
hamming_gray,0.12969283276450516,0.9358528688084489,-1668.0,d_H<= 1668/4096  (59.3% similar),2930,2924,0.8443686006825939,0.5948805460750853,0.32798634812286687,minmax
quant_l1_thermo,0.07235494880546078,0.9676567468006331,-13002.0,,2930,2924,0.9361774744027304,0.8242320819112628,0.5334470989761092,minmax
float_cosine,0.06326949384404924,0.9676580307494058,0.1476602064408052,,2930,2924,0.9419795221843004,0.903754266211604,0.826962457337884,zscore
quant_cosine,0.06326949384404924,0.967656396632786,0.1475239644471895,,2930,2924,0.9419795221843004,0.903754266211604,0.826962457337884,zscore
hamming_binary,0.10614334470989761,0.94888168061891,-1992.0,d_H<= 1992/4096  (51.4% similar),2930,2924,0.8907849829351536,0.7604095563139932,0.5713310580204778,zscore
hamming_gray,0.13714090287277703,0.9287815793036797,-1996.0,d_H<= 1996/4096  (51.3% similar),2930,2924,0.8440273037542663,0.6583617747440274,0.41023890784982936,zscore
quant_l1_thermo,0.06075085324232077,0.9721681926203293,-42240.635494880546,,2930,2924,0.9467576791808874,0.9030716723549488,0.7085324232081911,zscore
