condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.29157967988865696,0.7709384446697478,0.5324941912556307,,1437,1567,0.500347947112039,0.19763395963813501,0.12038970076548365,none
quant_cosine,0.29227557411273486,0.7702958416434295,0.5259175084832379,,1437,1567,0.500347947112039,0.1990257480862909,0.11899791231732777,none
hamming_binary,0.32498260264439804,0.7438016785839108,-3599.0,d_H<= 3599/8192  (56.1% similar),1437,1567,0.41614474599860823,0.13569937369519833,0.061238691718858734,none
hamming_gray,0.2986598596043395,0.7611515162011904,-2826.0,d_H<= 2826/8192  (65.5% similar),1437,1567,0.37647877522616563,0.09464161447459986,0.010438413361169102,none
quant_l1_thermo,0.2878111040204212,0.7777757053423093,-26783.0,,1437,1567,0.43075852470424497,0.07306889352818371,0.016005567153792623,none
float_cosine,0.29227823867262287,0.7707794592630981,0.5552129625341462,,1437,1567,0.49617258176757134,0.19276270006958943,0.1022964509394572,tanh
quant_cosine,0.2935545628589662,0.7700942232785722,0.547813404426977,,1437,1567,0.4913013221990257,0.19137091162143355,0.1022964509394572,tanh
hamming_binary,0.3131524008350731,0.7499505946187437,-3612.0,d_H<= 3612/8192  (55.9% similar),1437,1567,0.4175365344467641,0.12247738343771747,0.05915100904662491,tanh
hamming_gray,0.29546904913848115,0.771182251899498,-2849.0,d_H<= 2849/8192  (65.2% similar),1437,1567,0.4036186499652053,0.1022964509394572,0.009046624913013222,tanh
quant_l1_thermo,0.28462073764787754,0.7840560729982826,-23446.00139178845,,1437,1567,0.4523312456506611,0.10438413361169102,0.022268615170494086,tanh
float_cosine,0.32227185705169115,0.7424920473989676,0.9762393717558316,,1437,1567,0.3562978427279054,0.061934585942936674,0.010438413361169102,minmax
quant_cosine,0.32354818123803447,0.7415434640788461,0.9765481799395302,,1437,1567,0.3542101600556715,0.060542797494780795,0.010438413361169102,minmax
hamming_binary,0.34652201659221443,0.7049119829255003,-2107.047862156988,d_H<= 2107/8192  (74.3% similar),1437,1567,0.2588726513569937,0.018789144050104383,0.0020876826722338203,minmax
hamming_gray,0.32354818123803447,0.7310331076007015,-2231.0,d_H<= 2231/8192  (72.8% similar),1437,1567,0.30549756437021575,0.031315240083507306,0.0020876826722338203,minmax
quant_l1_thermo,0.30695596681557114,0.7621112018541784,-16163.425654116145,,1437,1567,0.40848990953375086,0.05706332637439109,0.011134307585247043,minmax
float_cosine,0.2603701340140396,0.805767351058874,0.24364398023258982,,1437,1567,0.5177453027139874,0.2115518441196938,0.08768267223382047,zscore
quant_cosine,0.26026443980514957,0.8058743775477077,0.246073152187813,,1437,1567,0.5177453027139874,0.2115518441196938,0.08768267223382047,zscore
hamming_binary,0.2948308870453095,0.7597703859925864,-3318.0,d_H<= 3318/8192  (59.5% similar),1437,1567,0.3757828810020877,0.08420320111343076,0.013917884481558803,zscore
hamming_gray,0.30312699425654116,0.758356836972012,-3275.0,d_H<= 3275/8192  (60.0% similar),1437,1567,0.3729993041057759,0.0848990953375087,0.011830201809324982,zscore
quant_l1_thermo,0.26994256541161454,0.7994550086842448,-63600.74026802808,,1437,1567,0.49269311064718163,0.1593597773138483,0.06263048016701461,zscore
