condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.044333333333333336,0.9819629999999999,0.10068482558120205,,3000,3000,0.9633333333333334,0.954,0.9523333333333334,none
quant_cosine,0.04400000000000004,0.9819655555555555,0.10068717648457617,,3000,3000,0.9633333333333334,0.954,0.9523333333333334,none
hamming_binary,0.04466666666666663,0.9795828888888889,-1962.0,d_H<= 1962/4096  (52.1% similar),3000,3000,0.9583333333333334,0.952,0.9516666666666667,none
hamming_gray,0.05466666666666664,0.9714646666666665,-1818.0,d_H<= 1818/4096  (55.6% similar),3000,3000,0.9486666666666667,0.9283333333333333,0.8983333333333333,none
quant_l1_thermo,0.042333333333333334,0.9829325555555555,-49334.0,,3000,3000,0.9643333333333334,0.955,0.9503333333333334,none
float_cosine,0.044333333333333336,0.9822295555555556,0.10175909385626053,,3000,3000,0.9623333333333334,0.954,0.9516666666666667,tanh
quant_cosine,0.044333333333333336,0.9822211111111111,0.10197088495365093,,3000,3000,0.963,0.954,0.9516666666666667,tanh
hamming_binary,0.046666666666666634,0.9790377777777779,-1991.0,d_H<= 1991/4096  (51.4% similar),3000,3000,0.9573333333333334,0.948,0.9393333333333334,tanh
hamming_gray,0.053333333333333344,0.9760226666666667,-1985.0,d_H<= 1985/4096  (51.5% similar),3000,3000,0.955,0.936,0.8983333333333333,tanh
quant_l1_thermo,0.042333333333333334,0.9830053333333333,-43151.0,,3000,3000,0.9643333333333334,0.9526666666666667,0.951,tanh
float_cosine,0.043333333333333335,0.9822778888888888,0.11568923433742109,,3000,3000,0.9626666666666667,0.9546666666666667,0.953,minmax
quant_cosine,0.043333333333333335,0.9822834444444445,0.11956129132918222,,3000,3000,0.9626666666666667,0.9546666666666667,0.953,minmax
hamming_binary,0.049000000000000044,0.9752303333333332,-1975.0000000000002,d_H<= 1975/4096  (51.8% similar),3000,3000,0.9523333333333334,0.9456666666666667,0.9303333333333333,minmax
hamming_gray,0.049000000000000044,0.9765406666666666,-1653.0,d_H<= 1653/4096  (59.6% similar),3000,3000,0.9576666666666667,0.9333333333333333,0.8963333333333333,minmax
quant_l1_thermo,0.04300000000000004,0.9818496666666667,-12958.000000000002,,3000,3000,0.9623333333333334,0.9513333333333334,0.9463333333333334,minmax
float_cosine,0.04366666666666663,0.9830715555555554,0.09498891118505869,,3000,3000,0.9646666666666667,0.954,0.9523333333333334,zscore
quant_cosine,0.04366666666666663,0.9830595555555555,0.09502439484439704,,3000,3000,0.9646666666666667,0.954,0.9523333333333334,zscore
hamming_binary,0.04566666666666663,0.979905888888889,-1988.0,d_H<= 1988/4096  (51.5% similar),3000,3000,0.9596666666666667,0.948,0.9283333333333333,zscore
hamming_gray,0.05033333333333334,0.9754242222222222,-1986.0,d_H<= 1986/4096  (51.5% similar),3000,3000,0.954,0.9333333333333333,0.915,zscore
quant_l1_thermo,0.042333333333333334,0.9833614444444445,-43608.0,,3000,3000,0.9643333333333334,0.9546666666666667,0.9503333333333334,zscore
