condition,eer,auc,eer_threshold,eer_threshold_human,n_genuine,n_impostor,tar_at_far_0.1,tar_at_far_0.01,tar_at_far_0.001,prescale
float_cosine,0.06202067355785257,0.9788402291705326,0.5328839667794554,,2999,2999,0.9553184394798266,0.8616205401800601,0.6288762920973658,none
quant_cosine,0.06235411803934643,0.9787261531325158,0.5264855110733913,,2999,2999,0.9553184394798266,0.8612870956985662,0.6308769589863288,none
hamming_binary,0.08769589863287763,0.967150326089579,-3620.0,d_H<= 3620/8192  (55.8% similar),2999,2999,0.9203067689229744,0.7692564188062687,0.5778592864288096,none
hamming_gray,0.08969656552184062,0.9683584647144247,-2900.0,d_H<= 2900/8192  (64.6% similar),2999,2999,0.916972324108036,0.719239746582194,0.438812937645882,none
quant_l1_thermo,0.05601867289096363,0.9835699373393443,-29386.0,,2999,2999,0.9646548849616539,0.8479493164388129,0.6705568522840947,none
float_cosine,0.061687229076358784,0.9787200379452927,0.5563577320695702,,2999,2999,0.9559853284428143,0.8632877625875292,0.6312104034678226,tanh
quant_cosine,0.06302100700233411,0.9785759418972714,0.5489294860389249,,2999,2999,0.9549849949983328,0.8589529843281094,0.628542847615872,tanh
hamming_binary,0.07969323107702568,0.9724388511853622,-3648.0,d_H<= 3648/8192  (55.5% similar),2999,2999,0.928976325441814,0.8036012004001334,0.6215405135045015,tanh
hamming_gray,0.07535845281760586,0.9759664247313293,-2951.0,d_H<= 2951/8192  (64.0% similar),2999,2999,0.9419806602200733,0.7442480826942314,0.5805268422807602,tanh
quant_l1_thermo,0.05701900633544515,0.9843278869993455,-25659.0,,2999,2999,0.9669889963321107,0.8579526508836278,0.7002334111370457,tanh
float_cosine,0.06802267422474162,0.9794585301914019,0.9690674998262802,,2999,2999,0.9533177725908636,0.8009336445481827,0.5481827275758586,minmax
quant_cosine,0.06868956318772923,0.9792546164938163,0.9694621443493371,,2999,2999,0.9519839946648883,0.7949316438812938,0.5418472824274758,minmax
hamming_binary,0.13771257085695232,0.9369718771434425,-2224.0,d_H<= 2224/8192  (72.9% similar),2999,2999,0.8092697565855285,0.4688229409803268,0.1813937979326442,minmax
hamming_gray,0.11603867955985325,0.9542612903867811,-2351.0,d_H<= 2351/8192  (71.3% similar),2999,2999,0.8612870956985662,0.5885295098366122,0.3237745915305102,minmax
quant_l1_thermo,0.060020006668889625,0.9816024036466083,-18416.0,,2999,2999,0.9586528842947649,0.8142714238079359,0.6565521840613537,minmax
float_cosine,0.046348782927642544,0.9867768527043748,0.22734768061876923,,2999,2999,0.9699899966655552,0.9226408802934312,0.8056018672890963,zscore
quant_cosine,0.04634878292764255,0.9867949758955998,0.22989375358042746,,2999,2999,0.9699899966655552,0.9223074358119373,0.8032677559186395,zscore
hamming_binary,0.08502834278092697,0.9692900856915626,-3375.0,d_H<= 3375/8192  (58.8% similar),2999,2999,0.9266422140713572,0.7089029676558853,0.5095031677225742,zscore
hamming_gray,0.08969656552184058,0.9689208395685079,-3334.0,d_H<= 3334/8192  (59.3% similar),2999,2999,0.9156385461820606,0.7199066355451818,0.4928309436478826,zscore
quant_l1_thermo,0.05068356118706241,0.9857461656942221,-65393.00000000001,,2999,2999,0.9679893297765922,0.8799599866622208,0.7329109703234411,zscore
